City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Batagay-Alyta,RU,2022-03-22 02:44:42,67.8006,130.4114,0.82,63,51,2.77
1,Hobart,AU,2022-03-22 02:44:43,-42.8794,147.3294,64.26,92,75,2.3
2,Mehamn,NO,2022-03-22 02:44:43,71.0357,27.8492,32.18,79,95,39.59
3,Bluff,NZ,2022-03-22 02:44:43,-46.6,168.3333,65.52,71,25,6.38
4,Punta Arenas,CL,2022-03-22 02:44:44,-53.15,-70.9167,53.71,58,75,19.57
5,Beyneu,KZ,2022-03-22 02:44:44,45.3167,55.2,32.43,64,95,14.41
6,Nikolskoye,RU,2022-03-22 02:44:44,59.7035,30.7861,34.72,92,30,5.86
7,Georgetown,MY,2022-03-22 02:44:45,5.4112,100.3354,87.73,77,20,3.44
8,Chuy,UY,2022-03-22 02:44:45,-33.6971,-53.4616,67.08,61,82,13.73
9,Vestmannaeyjar,IS,2022-03-22 02:42:42,63.4427,-20.2734,45.68,95,100,20.18
10,Urucara,BR,2022-03-22 02:44:50,-2.5364,-57.76,73.4,99,100,1.54
11,Panukulan,PH,2022-03-22 02:44:50,14.9333,121.8144,83.21,75,72,4.16
12,Avarua,CK,2022-03-22 02:44:51,-21.2078,-159.775,84.25,74,20,14.97
13,Port Alfred,ZA,2022-03-22 02:44:51,-33.5906,26.891,69.01,86,0,7.72
14,Montepuez,MZ,2022-03-22 02:44:51,-13.1256,38.9997,65.57,92,95,5.44
15,Golden,US,2022-03-22 02:44:52,39.7555,-105.2211,38.89,57,100,18.41
16,San Patricio,US,2022-03-22 02:44:52,28.017,-97.5169,75.29,87,49,15.84
17,Busselton,AU,2022-03-22 02:44:52,-33.65,115.3333,69.78,41,1,8.97
18,Vaini,TO,2022-03-22 02:44:53,-21.2,-175.2,78.96,89,40,5.75
19,Hay River,CA,2022-03-22 02:42:18,60.8156,-115.7999,17.58,67,20,6.91
20,Juquia,BR,2022-03-22 02:44:53,-24.3208,-47.6347,65.37,97,59,0.94
21,San Quintin,MX,2022-03-22 02:44:54,30.4833,-115.95,58.46,83,81,6.22
22,Avera,US,2022-03-22 02:44:54,33.194,-82.5271,56.71,61,86,6.6
23,Hermanus,ZA,2022-03-22 02:41:09,-34.4187,19.2345,65.8,89,35,10.85
24,Ushuaia,AR,2022-03-22 02:41:41,-54.8,-68.3,49.66,71,40,4.61
25,Bambous Virieux,MU,2022-03-22 02:44:55,-20.3428,57.7575,77.22,100,75,8.05
26,Arman,RU,2022-03-22 02:44:55,59.7,150.1667,30.02,92,100,1.03
27,Mataura,NZ,2022-03-22 02:44:55,-46.1927,168.8643,74.7,47,96,5.3
28,Lima,PE,2022-03-22 02:41:14,-12.0432,-77.0282,66.45,42,0,11.5
29,Puerto Ayora,EC,2022-03-22 02:44:56,-0.7393,-90.3518,79.56,90,26,3.0
30,Rikitea,PF,2022-03-22 02:44:56,-23.1203,-134.9692,79.65,67,1,10.18
31,Butaritari,KI,2022-03-22 02:44:57,3.0707,172.7902,80.76,78,63,14.58
32,Tuktoyaktuk,CA,2022-03-22 02:44:57,69.4541,-133.0374,-14.8,76,75,0.0
33,Tautira,PF,2022-03-22 02:44:57,-17.7333,-149.15,80.65,75,59,12.28
34,Airai,TL,2022-03-22 02:44:58,-8.9266,125.4092,75.07,57,53,1.43
35,Sitka,US,2022-03-22 02:44:58,57.0531,-135.33,46.29,61,100,13.8
36,Lagoa,PT,2022-03-22 02:44:59,39.05,-27.9833,56.62,69,100,23.11
37,Dobele,LV,2022-03-22 02:44:59,56.625,23.2786,36.16,70,0,2.95
38,Havre-Saint-Pierre,CA,2022-03-22 02:44:59,50.2334,-63.5986,32.0,74,100,11.5
39,Tuatapere,NZ,2022-03-22 02:45:00,-46.1333,167.6833,72.77,47,23,3.98
40,Muroto,JP,2022-03-22 02:45:00,33.2833,134.15,49.53,88,100,23.51
41,Atuona,PF,2022-03-22 02:45:00,-9.8,-139.0333,79.3,76,62,14.12
42,Agadez,NE,2022-03-22 02:46:01,19.75,10.25,67.28,23,0,10.8
43,Port Hardy,CA,2022-03-22 02:42:14,50.6996,-127.4199,44.6,93,100,19.57
44,Haines Junction,CA,2022-03-22 02:46:01,60.7522,-137.5108,30.15,51,100,6.91
45,Yulara,AU,2022-03-22 02:46:02,-25.2406,130.9889,96.64,12,42,8.05
46,Esperance,AU,2022-03-22 02:46:02,-33.8667,121.9,66.04,56,75,13.98
47,Bud,US,2022-03-22 02:46:02,39.447,-86.1758,60.82,48,100,6.67
48,Areka,ET,2022-03-22 02:46:03,7.0667,37.7,63.07,77,89,1.32
49,Jamestown,US,2022-03-22 02:46:03,42.097,-79.2353,44.24,54,100,10.36
50,Saint George,US,2022-03-22 02:46:03,37.1041,-113.5841,57.63,26,0,18.41
51,Khatanga,RU,2022-03-22 02:46:04,71.9667,102.5,-14.01,98,98,6.78
52,Amol,IR,2022-03-22 02:46:04,36.4696,52.3507,45.32,89,98,5.57
53,Evensk,RU,2022-03-22 02:46:04,61.95,159.2333,33.58,91,100,11.61
54,Sorong,ID,2022-03-22 02:46:05,-0.8833,131.25,82.13,77,100,8.81
55,Arraial Do Cabo,BR,2022-03-22 02:44:09,-22.9661,-42.0278,74.59,67,27,11.32
56,Tasiilaq,GL,2022-03-22 02:42:36,65.6145,-37.6368,10.56,54,0,4.07
57,Salalah,OM,2022-03-22 02:46:05,17.0151,54.0924,68.09,22,0,6.91
58,Geraldton,AU,2022-03-22 02:46:06,-28.7667,114.6,81.01,44,0,17.27
59,Maniitsoq,GL,2022-03-22 02:46:06,65.4167,-52.9,-1.07,77,100,3.58
60,Vanavara,RU,2022-03-22 02:46:06,60.34,102.2797,20.52,87,100,9.28
61,Tucumcari,US,2022-03-22 02:46:07,35.1717,-103.725,40.84,52,100,16.11
62,Key Largo,US,2022-03-22 02:46:07,25.0865,-80.4473,75.97,59,90,22.88
63,Sitio Novo Do Tocantins,BR,2022-03-22 02:46:07,-5.5183,-47.4611,73.42,92,28,1.16
64,Lavrentiya,RU,2022-03-22 02:46:08,65.5833,-171.0,10.99,87,97,3.49
65,Qaanaaq,GL,2022-03-22 02:46:08,77.484,-69.3632,-6.25,86,100,5.77
66,Ugoofaaru,MV,2022-03-22 02:46:08,5.6667,73.0,82.09,68,0,13.09
67,Fianarantsoa,MG,2022-03-22 02:46:09,-21.4333,47.0833,59.09,91,100,2.37
68,Saskylakh,RU,2022-03-22 02:46:09,71.9167,114.0833,3.83,94,100,5.64
69,Sibolga,ID,2022-03-22 02:46:10,1.7427,98.7792,84.97,65,52,3.13
70,Clyde River,CA,2022-03-22 02:45:47,70.4692,-68.5914,-14.57,76,100,8.05
71,Norman Wells,CA,2022-03-22 02:46:10,65.282,-126.8329,1.44,60,20,12.66
72,Ponta Do Sol,PT,2022-03-22 02:46:11,32.6667,-17.1,65.07,72,82,7.9
73,Bengkulu,ID,2022-03-22 02:46:11,-3.8004,102.2655,83.28,68,100,3.94
74,Coahuayana,MX,2022-03-22 02:45:20,18.7333,-103.6833,69.39,61,11,3.02
75,Isangel,VU,2022-03-22 02:46:11,-19.55,169.2667,81.21,79,97,4.74
76,Parabel,RU,2022-03-22 02:46:12,58.6978,81.4825,16.9,92,100,7.85
77,Cabo San Lucas,MX,2022-03-22 02:45:51,22.8909,-109.9124,70.61,67,22,5.01
78,Nicolas Bravo,MX,2022-03-22 02:46:12,18.45,-88.9167,71.76,86,0,3.33
79,Castro,BR,2022-03-22 02:46:12,-24.7911,-50.0119,58.39,93,89,10.98
80,Albany,US,2022-03-22 02:42:17,42.6001,-73.9662,43.36,52,44,7.0
